"filename", "language", "JavaScript", "Vue", "SCSS", "YAML", "XML", "JSON", "Markdown", "HTML", "comment", "blank", "total"
"e:\codepag\vue-admin-template\src\utils\validate.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 11, 3, 21
"e:\codepag\vue-admin-template\src\vendor\Export2Excel.js", "JavaScript", 180, 0, 0, 0, 0, 0, 0, 0, 15, 26, 221
"e:\codepag\vue-admin-template\src\vendor\Export2Zip.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 1, 2, 25
"e:\codepag\vue-admin-template\src\views\404.vue", "Vue", 0, 225, 0, 0, 0, 0, 0, 0, 0, 4, 229
"e:\codepag\vue-admin-template\src\views\CreateForm\index.vue", "Vue", 0, 168, 0, 0, 0, 0, 0, 0, 0, 7, 175
"e:\codepag\vue-admin-template\src\views\DeliveryList\delivery-detail.vue", "Vue", 0, 350, 0, 0, 0, 0, 0, 0, 8, 17, 375
"e:\codepag\vue-admin-template\src\views\DeliveryList\index.vue", "Vue", 0, 258, 0, 0, 0, 0, 0, 0, 5, 9, 272
"e:\codepag\vue-admin-template\src\views\MineInfo\index.vue", "Vue", 0, 197, 0, 0, 0, 0, 0, 0, 3, 6, 206
"e:\codepag\vue-admin-template\src\views\OverviewList\index.vue", "Vue", 0, 278, 0, 0, 0, 0, 0, 0, 10, 13, 301
"e:\codepag\vue-admin-template\src\views\OverviewList\uploadExcel.vue", "Vue", 0, 127, 0, 0, 0, 0, 0, 0, 1, 7, 135
"e:\codepag\vue-admin-template\src\views\PayableList\index.vue", "Vue", 0, 531, 0, 0, 0, 0, 0, 0, 18, 24, 573
"e:\codepag\vue-admin-template\src\views\PayableList\payable-detail.vue", "Vue", 0, 441, 0, 0, 0, 0, 0, 0, 12, 18, 471
"e:\codepag\vue-admin-template\src\views\PlanSend\index.vue", "Vue", 0, 526, 0, 0, 0, 0, 0, 0, 22, 16, 564
"e:\codepag\vue-admin-template\src\views\PlanSend\plansend-detail.vue", "Vue", 0, 529, 0, 0, 0, 0, 0, 0, 9, 18, 556
"e:\codepag\vue-admin-template\src\views\PriceList\index.vue", "Vue", 0, 352, 0, 0, 0, 0, 0, 0, 17, 8, 377
"e:\codepag\vue-admin-template\src\views\PuchaseList\index.vue", "Vue", 0, 584, 0, 0, 0, 0, 0, 0, 22, 17, 623
"e:\codepag\vue-admin-template\src\views\PuchaseList\puchase-detail.vue", "Vue", 0, 662, 0, 0, 0, 0, 0, 0, 13, 23, 698
"e:\codepag\vue-admin-template\src\views\ReturnList\index.vue", "Vue", 0, 271, 0, 0, 0, 0, 0, 0, 8, 11, 290
"e:\codepag\vue-admin-template\src\views\ReturnList\return-detail.vue", "Vue", 0, 273, 0, 0, 0, 0, 0, 0, 5, 9, 287
"e:\codepag\vue-admin-template\src\views\login\index.vue", "Vue", 0, 192, 0, 0, 0, 0, 0, 0, 0, 5, 197
"e:\codepag\vue-admin-template\src\views\redirect\index.vue", "Vue", 0, 12, 0, 0, 0, 0, 0, 0, 0, 1, 13
"e:\codepag\vue-admin-template\tests\unit\.eslintrc.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"e:\codepag\vue-admin-template\tests\unit\components\Breadcrumb.spec.js", "JavaScript", 80, 0, 0, 0, 0, 0, 0, 0, 14, 5, 99
"e:\codepag\vue-admin-template\tests\unit\components\Hamburger.spec.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19
"e:\codepag\vue-admin-template\tests\unit\components\SvgIcon.spec.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23
"e:\codepag\vue-admin-template\tests\unit\utils\formatTime.spec.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 3, 31
"e:\codepag\vue-admin-template\tests\unit\utils\param2Obj.spec.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"e:\codepag\vue-admin-template\tests\unit\utils\parseTime.spec.js", "JavaScript", 33, 0, 0, 0, 0, 0, 0, 0, 0, 3, 36
"e:\codepag\vue-admin-template\tests\unit\utils\validate.spec.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18
"e:\codepag\vue-admin-template\vue.config.js", "JavaScript", 94, 0, 0, 0, 0, 0, 0, 0, 22, 8, 124
"Total", "-", 2206, 7530, 914, 10, 175, 75, 117, 16, 531, 803, 12377
